Date,Sensex,TATASTEEL.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,SBIN.NS,RELIANCE.NS,ITC.NS,HINDUNILVR.NS,WIPRO.NS,BAJFINANCE.NS,PFS.NS,SYNGENE.NS,DIXON.NS,MUTHOOTCAP.NS,THYROCARE.NS,IEX.NS,LALPATHLAB.NS,SHRIRAMCIT.NS,NETWORK18.NS,PVR.NS
2018-01-01,33812.75,68.806640625,927.25,516.7750244140625,310.29998779296875,307.1000061035156,901.2074584960938,262.29998779296875,1344.5,237.4125518798828,1725.6500244140625,37.849998474121094,273.92498779296875,837.510009765625,639.5999755859375,698.2999877929688,53.61333465576172,884.6500244140625,2109.10009765625,59.849998474121094,1423.75
2018-01-02,33812.26171875,69.48308563232422,936.1749877929688,514.8499755859375,309.70001220703125,303.25,902.5942993164062,260.75,1338.5999755859375,239.02505493164062,1724.6500244140625,37.5,280.1000061035156,827.4199829101562,633.9000244140625,685.2999877929688,53.56666564941406,882.3499755859375,2109.800048828125,58.95000076293945,1402.800048828125
2018-01-03,33793.37890625,70.02137756347656,926.3250122070312,510.6499938964844,315.0,302.8500061035156,906.2100219726562,261.1499938964844,1350.3499755859375,232.46255493164062,1715.300048828125,37.5,283.2749938964844,840.0900268554688,629.0499877929688,683.7000122070312,53.275001525878906,885.7999877929688,2095.39990234375,58.849998474121094,1401.800048828125
2018-01-04,33969.640625,72.43180084228516,929.9500122070312,507.70001220703125,314.70001220703125,308.5,911.6583862304688,261.54998779296875,1352.25,233.73756408691406,1754.0,37.849998474121094,285.32501220703125,825.47998046875,640.0,694.1500244140625,53.73500061035156,896.2000122070312,2135.800048828125,60.25,1399.0
2018-01-05,34153.8515625,73.42741394042969,931.7999877929688,506.0,312.8999938964844,306.3500061035156,914.5806884765625,262.8999938964844,1356.550048828125,232.1625518798828,1814.5,38.150001525878906,286.6000061035156,813.6400146484375,647.2999877929688,683.5999755859375,53.483333587646484,899.0,2124.60009765625,60.599998474121094,1419.0
2018-01-08,34352.7890625,73.24163055419922,930.2999877929688,518.0250244140625,314.1499938964844,305.79998779296875,919.8309326171875,265.6000061035156,1368.4000244140625,233.36256408691406,1836.8499755859375,37.75,291.25,816.6300048828125,651.4000244140625,686.7999877929688,53.5099983215332,896.2000122070312,2154.800048828125,61.0,1460.199951171875
2018-01-09,34443.19140625,73.57984924316406,931.8499755859375,520.6749877929688,312.6000061035156,304.29998779296875,932.114501953125,270.54998779296875,1361.300048828125,237.90005493164062,1819.5,37.349998474121094,284.125,809.9199829101562,665.8499755859375,689.0,53.90166473388672,888.5,2135.0,60.20000076293945,1486.800048828125
2018-01-10,34433.0703125,73.63224792480469,932.0999755859375,526.125,312.0,301.1000061035156,933.5013427734375,269.3999938964844,1365.800048828125,245.02505493164062,1802.199951171875,36.599998474121094,293.0,805.3599853515625,670.4500122070312,688.8499755859375,54.31999969482422,883.0499877929688,2137.25,59.099998474121094,1469.0
2018-01-11,34503.48828125,73.45123291015625,936.2750244140625,537.9000244140625,309.5,302.20001220703125,928.9445190429688,269.79998779296875,1378.6500244140625,240.82505798339844,1780.3499755859375,37.75,292.6000061035156,780.1500244140625,669.3499755859375,702.0,53.52333450317383,879.5499877929688,2138.949951171875,60.349998474121094,1460.75
2018-01-12,34592.390625,73.38453674316406,932.6500244140625,539.2249755859375,317.70001220703125,302.25,940.0888671875,267.54998779296875,1374.0,239.1000518798828,1770.0999755859375,37.5,295.125,768.9299926757812,669.2000122070312,709.9000244140625,54.47999954223633,918.0499877929688,2126.949951171875,62.349998474121094,1463.1500244140625
2018-01-15,34843.51171875,74.64691162109375,948.875,540.5750122070312,329.29998779296875,302.6000061035156,940.2374877929688,267.6000061035156,1367.199951171875,236.25006103515625,1738.1500244140625,38.400001525878906,296.42498779296875,759.5,803.0,699.9500122070312,53.813331604003906,912.1500244140625,2095.550048828125,60.849998474121094,1459.3499755859375
2018-01-16,34771.05078125,72.955810546875,950.0750122070312,561.4249877929688,334.1000061035156,296.1499938964844,914.2835083007812,261.70001220703125,1382.0,248.96255493164062,1687.3499755859375,37.20000076293945,297.1499938964844,740.72998046875,836.5999755859375,690.4000244140625,53.871665954589844,914.7000122070312,2068.449951171875,56.849998474121094,1438.199951171875
2018-01-17,35081.8203125,73.74181365966797,945.25,576.0499877929688,343.25,307.1000061035156,915.8189697265625,266.04998779296875,1371.199951171875,244.27505493164062,1701.199951171875,37.400001525878906,295.07501220703125,728.7999877929688,846.4500122070312,695.4000244140625,53.5283317565918,915.7000122070312,2050.89990234375,57.5,1474.300048828125
2018-01-18,35260.2890625,71.62197875976562,967.1500244140625,576.3499755859375,346.1499938964844,303.25,911.0640258789062,273.3999938964844,1356.949951171875,244.01255798339844,1660.699951171875,36.849998474121094,295.79998779296875,758.9099731445312,812.1500244140625,702.4500122070312,53.81666564941406,905.6500244140625,2071.39990234375,54.54999923706055,1457.1500244140625
2018-01-19,35511.578125,71.7410659790039,976.0999755859375,571.7249755859375,353.6000061035156,309.25,922.5551147460938,274.54998779296875,1362.449951171875,246.71255493164062,1701.9000244140625,36.650001525878906,307.8999938964844,766.030029296875,825.5999755859375,699.25,54.02666473388672,903.0499877929688,2052.64990234375,54.599998474121094,1469.050048828125
2018-01-22,35798.01171875,71.66484832763672,981.6749877929688,575.0,351.5,306.5,962.3776245117188,273.6499938964844,1355.0999755859375,241.16256713867188,1706.3499755859375,36.650001525878906,314.45001220703125,764.969970703125,809.5999755859375,700.0,53.93000030517578,913.0499877929688,2052.39990234375,55.400001525878906,1474.0999755859375
