Date,GOOGL,MSFT
2018-01-02,53.660499572753906,85.94999694824219
2018-01-03,54.57600021362305,86.3499984741211
2018-01-04,54.78799819946289,87.11000061035156
2018-01-05,55.51449966430664,88.19000244140625
2018-01-08,55.71049880981445,88.27999877929688
2018-01-09,55.63949966430664,88.22000122070312
2018-01-10,55.50699996948242,87.81999969482422
2018-01-11,55.602500915527344,88.08000183105469
2018-01-12,56.532501220703125,89.5999984741211
2018-01-16,56.53499984741211,88.3499984741211
2018-01-17,56.95500183105469,90.13999938964844
2018-01-18,56.798500061035156,90.0999984741211
2018-01-19,57.17499923706055,90.0
2018-01-22,58.20800018310547,91.61000061035156
2018-01-23,58.80849838256836,91.9000015258789
2018-01-24,58.56449890136719,91.81999969482422
2018-01-25,59.106998443603516,92.33000183105469
2018-01-26,59.37799835205078,94.05999755859375
2018-01-29,59.32400131225586,93.91999816894531
2018-01-30,58.868499755859375,92.73999786376953
2018-01-31,59.111000061035156,95.01000213623047
2018-02-01,59.079498291015625,94.26000213623047
2018-02-02,55.959999084472656,91.77999877929688
2018-02-05,53.11949920654297,88.0
2018-02-06,54.221500396728516,91.33000183105469
2018-02-07,52.77050018310547,89.61000061035156
2018-02-08,50.385501861572266,85.01000213623047
2018-02-09,52.313499450683594,88.18000030517578
2018-02-12,52.72800064086914,89.12999725341797
2018-02-13,52.707000732421875,89.83000183105469
2018-02-14,53.6349983215332,90.80999755859375
2018-02-15,54.56800079345703,92.66000366210938
2018-02-16,54.775001525878906,92.0
2018-02-20,55.179500579833984,92.72000122070312
2018-02-21,55.6875,91.48999786376953
2018-02-22,55.494998931884766,91.7300033569336
2018-02-23,56.40449905395508,94.05999755859375
2018-02-26,57.185001373291016,95.41999816894531
2018-02-27,55.8754997253418,94.19999694824219
2018-02-28,55.19599914550781,93.7699966430664
2018-03-01,53.570499420166016,92.8499984741211
2018-03-02,54.207000732421875,93.05000305175781
2018-03-05,54.737998962402344,93.63999938964844
2018-03-06,55.04499816894531,93.31999969482422
2018-03-07,55.75199890136719,93.86000061035156
2018-03-08,56.46900177001953,94.43000030517578
2018-03-09,58.04199981689453,96.54000091552734
2018-03-12,58.29650115966797,96.7699966430664
2018-03-13,56.99549865722656,94.41000366210938
2018-03-14,57.44449996948242,93.8499984741211
2018-03-15,57.53049850463867,94.18000030517578
2018-03-16,56.72100067138672,94.5999984741211
2018-03-19,55.003501892089844,92.88999938964844
2018-03-20,54.790000915527344,93.12999725341797
2018-03-21,54.70000076293945,92.4800033569336
2018-03-22,52.657501220703125,89.79000091552734
2018-03-23,51.32749938964844,87.18000030517578
2018-03-26,52.704498291015625,93.77999877929688
2018-03-27,50.34700012207031,89.47000122070312
2018-03-28,50.25899887084961,89.38999938964844
2018-03-29,51.856998443603516,91.2699966430664
2018-04-02,50.631500244140625,88.5199966430664
2018-04-03,50.933998107910156,89.70999908447266
2018-04-04,51.48550033569336,92.33000183105469
2018-04-05,51.63199996948242,92.37999725341797
2018-04-06,50.497501373291016,90.2300033569336
2018-04-09,51.00450134277344,90.7699966430664
2018-04-10,51.82500076293945,92.87999725341797
2018-04-11,51.25299835205078,91.86000061035156
2018-04-12,51.864498138427734,93.58000183105469
2018-04-13,51.801998138427734,93.08000183105469
2018-04-16,52.30500030517578,94.16999816894531
2018-04-17,53.96799850463867,96.06999969482422
2018-04-18,53.769500732421875,96.44000244140625
2018-04-19,54.47249984741211,96.11000061035156
2018-04-20,53.86600112915039,95.0
2018-04-23,53.69049835205078,95.3499984741211
2018-04-24,51.13199996948242,93.12000274658203
2018-04-25,51.14950180053711,92.30999755859375
2018-04-26,52.16550064086914,94.26000213623047
2018-04-27,51.5724983215332,95.81999969482422
2018-04-30,50.92900085449219,93.5199966430664
2018-05-01,52.037498474121094,95.0
2018-05-02,51.3025016784668,93.51000213623047
2018-05-03,51.314998626708984,94.06999969482422
2018-05-04,52.54999923706055,95.16000366210938
2018-05-07,52.972999572753906,96.22000122070312
2018-05-08,52.929500579833984,95.80999755859375
2018-05-09,54.4474983215332,96.94000244140625
2018-05-10,55.27349853515625,97.91000366210938
2018-05-11,55.16899871826172,97.69999694824219
2018-05-14,55.33000183105469,98.02999877929688
2018-05-15,54.243499755859375,97.31999969482422
2018-05-16,54.204498291015625,97.1500015258789
2018-05-17,54.0629997253418,96.18000030517578
2018-05-18,53.481998443603516,96.36000061035156
2018-05-21,54.20050048828125,97.5999984741211
2018-05-22,53.765499114990234,97.5
2018-05-23,54.29800033569336,98.66000366210938
2018-05-24,54.272499084472656,98.30999755859375
2018-05-25,54.20399856567383,98.36000061035156
2018-05-29,53.403499603271484,98.01000213623047
2018-05-30,53.87350082397461,98.94999694824219
2018-05-31,55.0,98.83999633789062
2018-06-01,56.75,100.79000091552734
2018-06-04,57.652000427246094,101.66999816894531
2018-06-05,57.55099868774414,102.19000244140625
2018-06-06,57.34749984741211,102.48999786376953
2018-06-07,56.72100067138672,100.87999725341797
2018-06-08,56.635501861572266,101.62999725341797
2018-06-11,57.04499816894531,101.05000305175781
2018-06-12,57.40950012207031,101.30999755859375
2018-06-13,57.21149826049805,100.8499984741211
2018-06-14,58.00550079345703,101.41999816894531
2018-06-15,57.9635009765625,100.12999725341797
2018-06-18,59.17900085449219,100.86000061035156
2018-06-19,58.93450164794922,100.86000061035156
2018-06-20,59.20349884033203,101.87000274658203
2018-06-21,58.47200012207031,101.13999938964844
2018-06-22,58.464500427246094,100.41000366210938
2018-06-25,56.9640007019043,98.38999938964844
2018-06-26,56.63100051879883,99.08000183105469
